#Name Weight Length
Zebra 10.2576 11.8018
Masked 12.1275 12.042
Zebra 10.7942 11.5704
Java 25.507 16.1928
Zebra 10.2869 12.7412
Zebra 10.136 12.8626
Masked 12.8887 12.9641
Java 24.7497 15.1118
Java 24.3257 15.1641
Java 24.3223 16.0557
Java 25.0046 16.3056
Masked 12.4223 12.6266
Zebra 10.4752 11.5044
Masked 12.4881 12.3855
Java 24.4826 16.2219
Java 25.836 16.1135
Zebra 10.9134 11.2263
Java 24.2656 16.8939
Zebra 10.935 11.3385
Zebra 10.1917 11.8697
Masked 12.2368 12.0997
Masked 12.7439 12.7717
Java 25.4882 16.2654
Zebra 10.2016 11.857
Masked 12.531 12.2228
Masked 12.0437 12.6755
Zebra 10.5318 12.7552
Zebra 10.7227 12.1404
Masked 12.21 12.2867
Masked 12.5482 12.9581
